 TITLE = "1D WATER DARCY VELOCITY PLOT"
 VARIABLES = "Y [ft]"," WATVEL [BTU/LB-F]"
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0461      0.0640      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000
 
 
 VARIABLES = "Y [ft]"," WATVEL [BTU/LB-F]"
 ZONE F=BLOCK, T="", I =          101
        0.0000      0.0100      0.0200      0.0300      0.0400      0.0500
        0.0600      0.0700      0.0800      0.0900      0.1000      0.1100
        0.1200      0.1300      0.1400      0.1500      0.1600      0.1700
        0.1800      0.1900      0.2000      0.2100      0.2200      0.2300
        0.2400      0.2500      0.2600      0.2700      0.2800      0.2900
        0.3000      0.3100      0.3200      0.3300      0.3400      0.3500
        0.3600      0.3700      0.3800      0.3900      0.4000      0.4100
        0.4200      0.4300      0.4400      0.4500      0.4600      0.4700
        0.4800      0.4900      0.5000      0.5100      0.5200      0.5300
        0.5400      0.5500      0.5600      0.5700      0.5800      0.5900
        0.6000      0.6100      0.6200      0.6300      0.6400      0.6500
        0.6600      0.6700      0.6800      0.6900      0.7000      0.7100
        0.7200      0.7300      0.7400      0.7500      0.7600      0.7700
        0.7800      0.7900      0.8000      0.8100      0.8200      0.8300
        0.8400      0.8500      0.8600      0.8700      0.8800      0.8900
        0.9000      0.9100      0.9200      0.9300      0.9400      0.9500
        0.9600      0.9700      0.9800      0.9900      1.0000
 
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0100      0.0208      0.0201      0.0136      0.0082
        0.0054      0.0038      0.0028      0.0024      0.0000
 
 
 VARIABLES = "Y [ft]"," WATVEL [BTU/LB-F]"
 ZONE F=BLOCK, T="", I =          101
        0.0000      0.0100      0.0200      0.0300      0.0400      0.0500
        0.0600      0.0700      0.0800      0.0900      0.1000      0.1100
        0.1200      0.1300      0.1400      0.1500      0.1600      0.1700
        0.1800      0.1900      0.2000      0.2100      0.2200      0.2300
        0.2400      0.2500      0.2600      0.2700      0.2800      0.2900
        0.3000      0.3100      0.3200      0.3300      0.3400      0.3500
        0.3600      0.3700      0.3800      0.3900      0.4000      0.4100
        0.4200      0.4300      0.4400      0.4500      0.4600      0.4700
        0.4800      0.4900      0.5000      0.5100      0.5200      0.5300
        0.5400      0.5500      0.5600      0.5700      0.5800      0.5900
        0.6000      0.6100      0.6200      0.6300      0.6400      0.6500
        0.6600      0.6700      0.6800      0.6900      0.7000      0.7100
        0.7200      0.7300      0.7400      0.7500      0.7600      0.7700
        0.7800      0.7900      0.8000      0.8100      0.8200      0.8300
        0.8400      0.8500      0.8600      0.8700      0.8800      0.8900
        0.9000      0.9100      0.9200      0.9300      0.9400      0.9500
        0.9600      0.9700      0.9800      0.9900      1.0000
 
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0042      0.0096      0.0111      0.0090      0.0000
 
 
 VARIABLES = "Y [ft]"," WATVEL [BTU/LB-F]"
 ZONE F=BLOCK, T="", I =          101
        0.0000      0.0100      0.0200      0.0300      0.0400      0.0500
        0.0600      0.0700      0.0800      0.0900      0.1000      0.1100
        0.1200      0.1300      0.1400      0.1500      0.1600      0.1700
        0.1800      0.1900      0.2000      0.2100      0.2200      0.2300
        0.2400      0.2500      0.2600      0.2700      0.2800      0.2900
        0.3000      0.3100      0.3200      0.3300      0.3400      0.3500
        0.3600      0.3700      0.3800      0.3900      0.4000      0.4100
        0.4200      0.4300      0.4400      0.4500      0.4600      0.4700
        0.4800      0.4900      0.5000      0.5100      0.5200      0.5300
        0.5400      0.5500      0.5600      0.5700      0.5800      0.5900
        0.6000      0.6100      0.6200      0.6300      0.6400      0.6500
        0.6600      0.6700      0.6800      0.6900      0.7000      0.7100
        0.7200      0.7300      0.7400      0.7500      0.7600      0.7700
        0.7800      0.7900      0.8000      0.8100      0.8200      0.8300
        0.8400      0.8500      0.8600      0.8700      0.8800      0.8900
        0.9000      0.9100      0.9200      0.9300      0.9400      0.9500
        0.9600      0.9700      0.9800      0.9900      1.0000
 
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000
 
 
 VARIABLES = "Y [ft]"," WATVEL [BTU/LB-F]"
 ZONE F=BLOCK, T="", I =          101
        0.0000      0.0100      0.0200      0.0300      0.0400      0.0500
        0.0600      0.0700      0.0800      0.0900      0.1000      0.1100
        0.1200      0.1300      0.1400      0.1500      0.1600      0.1700
        0.1800      0.1900      0.2000      0.2100      0.2200      0.2300
        0.2400      0.2500      0.2600      0.2700      0.2800      0.2900
        0.3000      0.3100      0.3200      0.3300      0.3400      0.3500
        0.3600      0.3700      0.3800      0.3900      0.4000      0.4100
        0.4200      0.4300      0.4400      0.4500      0.4600      0.4700
        0.4800      0.4900      0.5000      0.5100      0.5200      0.5300
        0.5400      0.5500      0.5600      0.5700      0.5800      0.5900
        0.6000      0.6100      0.6200      0.6300      0.6400      0.6500
        0.6600      0.6700      0.6800      0.6900      0.7000      0.7100
        0.7200      0.7300      0.7400      0.7500      0.7600      0.7700
        0.7800      0.7900      0.8000      0.8100      0.8200      0.8300
        0.8400      0.8500      0.8600      0.8700      0.8800      0.8900
        0.9000      0.9100      0.9200      0.9300      0.9400      0.9500
        0.9600      0.9700      0.9800      0.9900      1.0000
 
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000
 
 
 VARIABLES = "Y [ft]"," WATVEL [BTU/LB-F]"
 ZONE F=BLOCK, T="", I =          101
        0.0000      0.0100      0.0200      0.0300      0.0400      0.0500
        0.0600      0.0700      0.0800      0.0900      0.1000      0.1100
        0.1200      0.1300      0.1400      0.1500      0.1600      0.1700
        0.1800      0.1900      0.2000      0.2100      0.2200      0.2300
        0.2400      0.2500      0.2600      0.2700      0.2800      0.2900
        0.3000      0.3100      0.3200      0.3300      0.3400      0.3500
        0.3600      0.3700      0.3800      0.3900      0.4000      0.4100
        0.4200      0.4300      0.4400      0.4500      0.4600      0.4700
        0.4800      0.4900      0.5000      0.5100      0.5200      0.5300
        0.5400      0.5500      0.5600      0.5700      0.5800      0.5900
        0.6000      0.6100      0.6200      0.6300      0.6400      0.6500
        0.6600      0.6700      0.6800      0.6900      0.7000      0.7100
        0.7200      0.7300      0.7400      0.7500      0.7600      0.7700
        0.7800      0.7900      0.8000      0.8100      0.8200      0.8300
        0.8400      0.8500      0.8600      0.8700      0.8800      0.8900
        0.9000      0.9100      0.9200      0.9300      0.9400      0.9500
        0.9600      0.9700      0.9800      0.9900      1.0000
 
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000
 
 
 VARIABLES = "Y [ft]"," WATVEL [BTU/LB-F]"
 ZONE F=BLOCK, T="", I =          101
        0.0000      0.0100      0.0200      0.0300      0.0400      0.0500
        0.0600      0.0700      0.0800      0.0900      0.1000      0.1100
        0.1200      0.1300      0.1400      0.1500      0.1600      0.1700
        0.1800      0.1900      0.2000      0.2100      0.2200      0.2300
        0.2400      0.2500      0.2600      0.2700      0.2800      0.2900
        0.3000      0.3100      0.3200      0.3300      0.3400      0.3500
        0.3600      0.3700      0.3800      0.3900      0.4000      0.4100
        0.4200      0.4300      0.4400      0.4500      0.4600      0.4700
        0.4800      0.4900      0.5000      0.5100      0.5200      0.5300
        0.5400      0.5500      0.5600      0.5700      0.5800      0.5900
        0.6000      0.6100      0.6200      0.6300      0.6400      0.6500
        0.6600      0.6700      0.6800      0.6900      0.7000      0.7100
        0.7200      0.7300      0.7400      0.7500      0.7600      0.7700
        0.7800      0.7900      0.8000      0.8100      0.8200      0.8300
        0.8400      0.8500      0.8600      0.8700      0.8800      0.8900
        0.9000      0.9100      0.9200      0.9300      0.9400      0.9500
        0.9600      0.9700      0.9800      0.9900      1.0000
 
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000
 
 
 VARIABLES = "Y [ft]"," WATVEL [BTU/LB-F]"
 ZONE F=BLOCK, T="", I =          101
        0.0000      0.0100      0.0200      0.0300      0.0400      0.0500
        0.0600      0.0700      0.0800      0.0900      0.1000      0.1100
        0.1200      0.1300      0.1400      0.1500      0.1600      0.1700
        0.1800      0.1900      0.2000      0.2100      0.2200      0.2300
        0.2400      0.2500      0.2600      0.2700      0.2800      0.2900
        0.3000      0.3100      0.3200      0.3300      0.3400      0.3500
        0.3600      0.3700      0.3800      0.3900      0.4000      0.4100
        0.4200      0.4300      0.4400      0.4500      0.4600      0.4700
        0.4800      0.4900      0.5000      0.5100      0.5200      0.5300
        0.5400      0.5500      0.5600      0.5700      0.5800      0.5900
        0.6000      0.6100      0.6200      0.6300      0.6400      0.6500
        0.6600      0.6700      0.6800      0.6900      0.7000      0.7100
        0.7200      0.7300      0.7400      0.7500      0.7600      0.7700
        0.7800      0.7900      0.8000      0.8100      0.8200      0.8300
        0.8400      0.8500      0.8600      0.8700      0.8800      0.8900
        0.9000      0.9100      0.9200      0.9300      0.9400      0.9500
        0.9600      0.9700      0.9800      0.9900      1.0000
 
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000
 
 
 VARIABLES = "Y [ft]"," WATVEL [BTU/LB-F]"
 ZONE F=BLOCK, T="", I =          101
        0.0000      0.0100      0.0200      0.0300      0.0400      0.0500
        0.0600      0.0700      0.0800      0.0900      0.1000      0.1100
        0.1200      0.1300      0.1400      0.1500      0.1600      0.1700
        0.1800      0.1900      0.2000      0.2100      0.2200      0.2300
        0.2400      0.2500      0.2600      0.2700      0.2800      0.2900
        0.3000      0.3100      0.3200      0.3300      0.3400      0.3500
        0.3600      0.3700      0.3800      0.3900      0.4000      0.4100
        0.4200      0.4300      0.4400      0.4500      0.4600      0.4700
        0.4800      0.4900      0.5000      0.5100      0.5200      0.5300
        0.5400      0.5500      0.5600      0.5700      0.5800      0.5900
        0.6000      0.6100      0.6200      0.6300      0.6400      0.6500
        0.6600      0.6700      0.6800      0.6900      0.7000      0.7100
        0.7200      0.7300      0.7400      0.7500      0.7600      0.7700
        0.7800      0.7900      0.8000      0.8100      0.8200      0.8300
        0.8400      0.8500      0.8600      0.8700      0.8800      0.8900
        0.9000      0.9100      0.9200      0.9300      0.9400      0.9500
        0.9600      0.9700      0.9800      0.9900      1.0000
 
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000
 
 
 VARIABLES = "Y [ft]"," WATVEL [BTU/LB-F]"
 ZONE F=BLOCK, T="", I =          101
        0.0000      0.0100      0.0200      0.0300      0.0400      0.0500
        0.0600      0.0700      0.0800      0.0900      0.1000      0.1100
        0.1200      0.1300      0.1400      0.1500      0.1600      0.1700
        0.1800      0.1900      0.2000      0.2100      0.2200      0.2300
        0.2400      0.2500      0.2600      0.2700      0.2800      0.2900
        0.3000      0.3100      0.3200      0.3300      0.3400      0.3500
        0.3600      0.3700      0.3800      0.3900      0.4000      0.4100
        0.4200      0.4300      0.4400      0.4500      0.4600      0.4700
        0.4800      0.4900      0.5000      0.5100      0.5200      0.5300
        0.5400      0.5500      0.5600      0.5700      0.5800      0.5900
        0.6000      0.6100      0.6200      0.6300      0.6400      0.6500
        0.6600      0.6700      0.6800      0.6900      0.7000      0.7100
        0.7200      0.7300      0.7400      0.7500      0.7600      0.7700
        0.7800      0.7900      0.8000      0.8100      0.8200      0.8300
        0.8400      0.8500      0.8600      0.8700      0.8800      0.8900
        0.9000      0.9100      0.9200      0.9300      0.9400      0.9500
        0.9600      0.9700      0.9800      0.9900      1.0000
 
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
        0.0000      0.0000      0.0000      0.0000      0.0000
